+----------------------------------------------------------+---------------------------------------------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                         |                                      Module                                     | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|       U0                                                 |                                        network_fifo_3_0__fifo_generator_v13_2_5 |         49 |         49 |       0 |    0 |   57 |      0 |      1 |          0 |
|         inst_fifo_gen                                    |                                  network_fifo_3_0__fifo_generator_v13_2_5_synth |         49 |         49 |       0 |    0 |   57 |      0 |      1 |          0 |
|           gconvfifo.rf                                   |                                            network_fifo_3_0__fifo_generator_top |         49 |         49 |       0 |    0 |   57 |      0 |      1 |          0 |
|             grf.rf                                       |                                        network_fifo_3_0__fifo_generator_ramfifo |         49 |         49 |       0 |    0 |   57 |      0 |      1 |          0 |
|               gntv_or_sync_fifo.gl0.rd                   |                                                      network_fifo_3_0__rd_logic |         37 |         37 |       0 |    0 |   26 |      0 |      0 |          0 |
|                 gr1.gr1_int.rfwft                        |                                                       network_fifo_3_0__rd_fwft |          9 |          9 |       0 |    0 |    8 |      0 |      0 |          0 |
|                 grss.rsts                                |                                            network_fifo_3_0__rd_status_flags_ss |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 rpntr                                    |                                                   network_fifo_3_0__rd_bin_cntr |         28 |         28 |       0 |    0 |   16 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.gl0.wr                   |                                                      network_fifo_3_0__wr_logic |         11 |         11 |       0 |    0 |   29 |      0 |      0 |          0 |
|                 gwss.gpf.wrpf                            |                                                      network_fifo_3_0__wr_pf_ss |          2 |          2 |       0 |    0 |   11 |      0 |      0 |          0 |
|                 gwss.wsts                                |                                            network_fifo_3_0__wr_status_flags_ss |          3 |          3 |       0 |    0 |    2 |      0 |      0 |          0 |
|                 wpntr                                    |                                                   network_fifo_3_0__wr_bin_cntr |          6 |          6 |       0 |    0 |   16 |      0 |      0 |          0 |
|               gntv_or_sync_fifo.mem                      |                                                        network_fifo_3_0__memory |          1 |          1 |       0 |    0 |    2 |      0 |      1 |          0 |
|                 (gntv_or_sync_fifo.mem)                  |                                                        network_fifo_3_0__memory |          0 |          0 |       0 |    0 |    2 |      0 |      0 |          0 |
